1.1.001|1.1.001 वृद्धिरादैच्	आ, ऐ and औ are called वृद्धि।<br><br>Terms: वृद्धि
1.3.004|1.3.004 न विभक्तौ तुस्माः	The final dental consonants and the final स् and म् are not इत् , in affixes called विभक्ति or inflective affixes.<br><br>Terms: इत्
1.3.005|1.3.005 आदिर्ञिटुडवः	The initial ञि , टु , डु are इत्।<br><br>Terms: इत्
1.3.006|1.3.006 षः प्रत्ययस्य	The initial ष् of an affix is indicatory.<br><br>Terms: इत्
1.3.007|1.3.007 चुटू	The initial palatals and linguals of an affix are indicatory.<br><br>Terms: इत्
1.3.008|1.3.008 लशक्वतद्धिते	The initial ल् and श् and the gutturals of all affixes, except , तद्धित are indicatory.<br><br>Terms: इत्
1.3.009|1.3.009 तस्य लोपः	Of this, (namely of that which has been called इत् ), there is elision.<br><br>Terms: इत्
1.3.010|1.3.010 यथासंख्यमनुदेशः समानाम्	When a rule involves the case of equal numbers of substitutes and of things for which these are to be substituted, their mutual correspondence or assignment of each to each, is according to the order of enumeration.<br><br>Terms: 
1.3.011|1.3.011 स्वरितेनाधिकारः	In these aphorisms, when a word is marked with a स्वरित accent, by that an अधिकार or a governing rule is to be understood.<br><br>Terms: स्वरित
1.3.012|1.3.012 अनुदात्तङित आत्मनेपदम्	After a root which has an indicatory अनुदात्त vowel (अनुदात्तेत्) or an indicatory ङ् (ङित्), the affixes are those of the आत्मनेपद।<br><br>Terms: अनुदात्त-आत्मनेपद
1.3.013|1.3.013 भावकर्म्मणोः	An आत्मनेपद affix is the substitute of the affix ल 3.4.69 when it denotes the action of the verb or the object of the verb.<br><br>Terms: आत्मनेपद
1.3.014|1.3.014 कर्त्तरि कर्म्मव्यतिहारे	In denoting the agent, when reciprocity of action is to be expressed, the affixes of the आत्मनेपद are employed.<br><br>Terms: आत्मनेपद
1.3.015|1.3.015 न गतिहिंसार्थेभ्यः	After verbs having the sense of 'motion', or 'injury', when expressing interchange of action, the आत्मनेपद affixes are used.<br><br>Terms: आत्मनेपद
1.3.016|1.3.016 इतरेतरान्योन्योपपदाच्च	And after the verbs which take the words इतरेतर 'each other' and अन्योन्य 'one another', as उपपद (or dependant qualifying words), the affixes of आत्मनेपद are not used, though reciprocity of action be denoted.<br><br>Terms: आत्मनेपद
1.3.017|1.3.017 नेर्विशः	After the verb विश् 'to enter', when preceded by the preposition नि, the आत्मनेपद affixes are employed<br><br>Terms: आत्मनेपद
1.3.018|1.3.018 परिव्यवेभ्यः क्रियः	After the verb क्री 'to purchase', when preceded by परि , वि or अव , the आत्मनेपद affix is employed, even when the fruit of the action does not accrue to the agent.<br><br>Terms: आत्मनेपद
1.3.019|1.3.019 विपराभ्यां जेः	After the verb जि 'to conquer', preceded by वि or परा , the आत्मनेपद affix is employed.<br><br>Terms: आत्मनेपद
1.3.020|1.3.020 आङो दोऽनास्यविहरणे	After the verb दा 'to give', preceded by अङ् , and when not meaning 'to open the mouth', the आत्मनेपद affix is used, even when the fruit of the action does not accrue to the agent.<br><br>Terms: आत्मनेपद
1.3.021|1.3.021 क्रीडोऽनुसम्परिभ्यश्च	After the verb क्रीड 'to play', preceded by अनु , सम् , or परि as well as आङ्, the आत्मनेपद affix is used.<br><br>Terms: आत्मनेपद
1.3.022|1.3.022 समवप्रविभ्यः स्थः	After the verb स्था 'to stand', preceded by सम् , अव , प्र , वि , the आत्मनेपद affix is used.<br><br>Terms: आत्मनेपद
1.3.023|1.3.023 प्रकाशनस्थेयाख्ययोश्च	After the verb स्था 'when meaning to indicate one's intentions to another', or 'to make an award as an arbitrator', the आत्मनेपद affix is employed.<br><br>Terms: आत्मनेपद
1.3.024|1.3.024 उदोऽनूर्द्ध्वकर्मणि	After the verb स्था 'to stand', preceded by उत् , when not meaning 'to get up or rise', as from a seat; the आत्मनेपद affix is used.<br><br>Terms: आत्मनेपद
1.3.025|1.3.025 उपान्मन्त्रकरणे	After the verb स्था 'to stand', preceded by उप , when meaning 'to adore', the आत्मनेपद affix is used.<br><br>Terms: आत्मनेपद
1.3.026|1.3.026 अकर्मकाच्च	After the verb स्था 'to stand', preceded by उप , when meaning 'to adore', the आत्मनेपद affix is used.<br><br>Terms: आत्मनेपद
1.3.027|1.3.027 उद्विभ्यां तपः	After the word तप 'to shine', when used intransitively and preceded by उत् or वि the आत्मनेपद affix is used.<br><br>Terms: आत्मनेपद
1.3.028|1.3.028 आङो यमहनः	After the verb यम् 'to stop' and हन् 'to injure', when used intransitively and preceded by अन् , the आत्मनेपद affix is used.<br><br>Terms: आत्मनेपद
1.3.029|1.3.029 समो गम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः	After the verbs गम् 'to go', ऋच्छ् 'to become hard', प्रच्छ् 'to ask', स्वर् 'to find fault', ऋ 'to go', श्रु 'to hear' and विद् 'to know', when used intransitively and preceded by सम् , the आत्मनेपद affix is used.<br><br>Terms: आत्मनेपद
1.3.030|1.3.030 निसमुपविभ्यो ह्वः	After the verbs ह्वे 'to call', preceded by नि , सम् , उप and वि , the आत्मनेपद is used, even, when the fruit of the action does not accrue to the agent.<br><br>Terms: आत्मनेपद
1.3.031|1.3.031 स्पर्द्धायामाङः	After the verbs ह्वे 'to call', when meaning 'to challenge' and preceded by अङ् , the आत्मनेपद is used, even, when the fruit of the action does not accrue to the agent.<br><br>Terms: आत्मनेपद
